2.8.0+cu126
Start Training......
2025-09-05 21:21:40,612 INFO     Model: RotatE
2025-09-05 21:21:40,613 INFO     Data Path: data/FB15k-237
2025-09-05 21:21:40,613 INFO     #entity: 14541
2025-09-05 21:21:40,613 INFO     #relation: 237
2025-09-05 21:21:40,990 INFO     #train: 272115
2025-09-05 21:21:41,014 INFO     #valid: 17535
2025-09-05 21:21:41,041 INFO     #test: 20466
2025-09-05 21:21:41,428 INFO     Model Parameter Configuration:
2025-09-05 21:21:41,429 INFO     Parameter gamma: torch.Size([1]), require_grad = False
2025-09-05 21:21:41,429 INFO     Parameter embedding_range: torch.Size([1]), require_grad = False
2025-09-05 21:21:41,429 INFO     Parameter entity_embedding: torch.Size([14541, 2000]), require_grad = True
2025-09-05 21:21:41,429 INFO     Parameter relation_embedding: torch.Size([237, 1000]), require_grad = True
/usr/local/lib/python3.12/dist-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
2025-09-05 21:21:44,633 INFO     Ramdomly Initializing RotatE Model...
2025-09-05 21:21:44,634 INFO     Start Training...
2025-09-05 21:21:44,634 INFO     init_step = 0
2025-09-05 21:21:44,634 INFO     batch_size = 1024
2025-09-05 21:21:44,634 INFO     negative_adversarial_sampling = True
2025-09-05 21:21:44,634 INFO     hidden_dim = 1000
2025-09-05 21:21:44,634 INFO     gamma = 9.000000
2025-09-05 21:21:44,634 INFO     initial_adversarial_temperature = 1.000000
2025-09-05 21:21:44,634 INFO     decay_rate = 0.005000
2025-09-05 21:21:44,634 INFO     learning_rate = 0
/usr/local/lib/python3.12/dist-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
2025-09-05 21:21:49,362 INFO     Training average positive_sample_loss at step 0: 2.558650
2025-09-05 21:21:49,363 INFO     Training average negative_sample_loss at step 0: 0.083744
2025-09-05 21:21:49,363 INFO     Training average loss at step 0: 1.321197
2025-09-05 21:21:49,363 INFO     Training average current_temperature at step 0: 1.000000
2025-09-05 21:21:49,363 INFO     Evaluating on Valid Dataset...
2025-09-05 21:21:50,454 INFO     Evaluating the model... (0/2192)
2025-09-05 21:24:05,252 INFO     Evaluating the model... (1000/2192)
2025-09-05 21:26:21,440 INFO     Evaluating the model... (2000/2192)
2025-09-05 21:26:47,871 INFO     Valid MRR at step 0: 0.005374
2025-09-05 21:26:47,871 INFO     Valid MR at step 0: 6769.555118
2025-09-05 21:26:47,871 INFO     Valid HITS@1 at step 0: 0.004334
2025-09-05 21:26:47,872 INFO     Valid HITS@3 at step 0: 0.005019
2025-09-05 21:26:47,872 INFO     Valid HITS@10 at step 0: 0.005931
2025-09-05 21:27:16,272 INFO     Training average positive_sample_loss at step 100: 2.072363
2025-09-05 21:27:16,273 INFO     Training average negative_sample_loss at step 100: 0.154851
2025-09-05 21:27:16,273 INFO     Training average loss at step 100: 1.113607
2025-09-05 21:27:16,273 INFO     Training average current_temperature at step 100: 0.784517
2025-09-05 21:27:42,927 INFO     Training average positive_sample_loss at step 200: 1.146665
2025-09-05 21:27:42,927 INFO     Training average negative_sample_loss at step 200: 0.395707
2025-09-05 21:27:42,928 INFO     Training average loss at step 200: 0.771186
2025-09-05 21:27:42,928 INFO     Training average current_temperature at step 200: 0.475237
2025-09-05 21:28:09,223 INFO     Training average positive_sample_loss at step 300: 0.822913
2025-09-05 21:28:09,226 INFO     Training average negative_sample_loss at step 300: 0.520076
2025-09-05 21:28:09,226 INFO     Training average loss at step 300: 0.671495
2025-09-05 21:28:09,226 INFO     Training average current_temperature at step 300: 0.287885
2025-09-05 21:28:35,628 INFO     Training average positive_sample_loss at step 400: 0.699498
2025-09-05 21:28:35,628 INFO     Training average negative_sample_loss at step 400: 0.557862
2025-09-05 21:28:35,629 INFO     Training average loss at step 400: 0.628680
2025-09-05 21:28:35,629 INFO     Training average current_temperature at step 400: 0.174392
2025-09-05 21:29:01,919 INFO     Training average positive_sample_loss at step 500: 0.638009
2025-09-05 21:29:01,919 INFO     Training average negative_sample_loss at step 500: 0.565428
2025-09-05 21:29:01,919 INFO     Training average loss at step 500: 0.601719
2025-09-05 21:29:01,920 INFO     Training average current_temperature at step 500: 0.105642
2025-09-05 21:29:31,916 INFO     Training average positive_sample_loss at step 600: 0.554751
2025-09-05 21:29:31,917 INFO     Training average negative_sample_loss at step 600: 0.549660
2025-09-05 21:29:31,917 INFO     Training average loss at step 600: 0.552206
2025-09-05 21:29:31,917 INFO     Training average current_temperature at step 600: 0.063994
2025-09-05 21:29:59,057 INFO     Training average positive_sample_loss at step 700: 0.534066
2025-09-05 21:29:59,057 INFO     Training average negative_sample_loss at step 700: 0.517619
2025-09-05 21:29:59,057 INFO     Training average loss at step 700: 0.525843
2025-09-05 21:29:59,057 INFO     Training average current_temperature at step 700: 0.038766
2025-09-05 21:30:25,310 INFO     Training average positive_sample_loss at step 800: 0.525540
2025-09-05 21:30:25,310 INFO     Training average negative_sample_loss at step 800: 0.502402
2025-09-05 21:30:25,310 INFO     Training average loss at step 800: 0.513971
2025-09-05 21:30:25,310 INFO     Training average current_temperature at step 800: 0.023483
2025-09-05 21:30:51,514 INFO     Training average positive_sample_loss at step 900: 0.513180
2025-09-05 21:30:51,514 INFO     Training average negative_sample_loss at step 900: 0.489437
2025-09-05 21:30:51,514 INFO     Training average loss at step 900: 0.501309
2025-09-05 21:30:51,514 INFO     Training average current_temperature at step 900: 0.014225
2025-09-05 21:31:17,712 INFO     Training average positive_sample_loss at step 1000: 0.499916
2025-09-05 21:31:17,712 INFO     Training average negative_sample_loss at step 1000: 0.474628
2025-09-05 21:31:17,712 INFO     Training average loss at step 1000: 0.487272
2025-09-05 21:31:17,712 INFO     Training average current_temperature at step 1000: 0.010086
2025-09-05 21:31:47,220 INFO     Training average positive_sample_loss at step 1100: 0.461713
2025-09-05 21:31:47,220 INFO     Training average negative_sample_loss at step 1100: 0.457601
2025-09-05 21:31:47,220 INFO     Training average loss at step 1100: 0.459657
2025-09-05 21:31:47,220 INFO     Training average current_temperature at step 1100: 0.010000
2025-09-05 21:32:13,825 INFO     Training average positive_sample_loss at step 1200: 0.434955
2025-09-05 21:32:13,835 INFO     Training average negative_sample_loss at step 1200: 0.422467
2025-09-05 21:32:13,835 INFO     Training average loss at step 1200: 0.428711
2025-09-05 21:32:13,835 INFO     Training average current_temperature at step 1200: 0.010000
2025-09-05 21:32:40,696 INFO     Training average positive_sample_loss at step 1300: 0.434753
2025-09-05 21:32:40,696 INFO     Training average negative_sample_loss at step 1300: 0.402770
2025-09-05 21:32:40,696 INFO     Training average loss at step 1300: 0.418761
2025-09-05 21:32:40,696 INFO     Training average current_temperature at step 1300: 0.010000
2025-09-05 21:33:07,007 INFO     Training average positive_sample_loss at step 1400: 0.427363
2025-09-05 21:33:07,008 INFO     Training average negative_sample_loss at step 1400: 0.390048
2025-09-05 21:33:07,008 INFO     Training average loss at step 1400: 0.408706
2025-09-05 21:33:07,008 INFO     Training average current_temperature at step 1400: 0.010000
2025-09-05 21:33:33,074 INFO     Training average positive_sample_loss at step 1500: 0.415317
2025-09-05 21:33:33,074 INFO     Training average negative_sample_loss at step 1500: 0.378093
2025-09-05 21:33:33,074 INFO     Training average loss at step 1500: 0.396705
2025-09-05 21:33:33,074 INFO     Training average current_temperature at step 1500: 0.010000
2025-09-05 21:34:02,253 INFO     Training average positive_sample_loss at step 1600: 0.402173
2025-09-05 21:34:02,253 INFO     Training average negative_sample_loss at step 1600: 0.364681
2025-09-05 21:34:02,253 INFO     Training average loss at step 1600: 0.383427
2025-09-05 21:34:02,254 INFO     Training average current_temperature at step 1600: 0.010000
2025-09-05 21:34:28,974 INFO     Training average positive_sample_loss at step 1700: 0.356739
2025-09-05 21:34:28,974 INFO     Training average negative_sample_loss at step 1700: 0.338354
2025-09-05 21:34:28,975 INFO     Training average loss at step 1700: 0.347547
2025-09-05 21:34:28,975 INFO     Training average current_temperature at step 1700: 0.010000
2025-09-05 21:34:55,856 INFO     Training average positive_sample_loss at step 1800: 0.361249
2025-09-05 21:34:55,857 INFO     Training average negative_sample_loss at step 1800: 0.318909
2025-09-05 21:34:55,857 INFO     Training average loss at step 1800: 0.340079
2025-09-05 21:34:55,857 INFO     Training average current_temperature at step 1800: 0.010000
2025-09-05 21:35:22,059 INFO     Training average positive_sample_loss at step 1900: 0.356616
2025-09-05 21:35:22,061 INFO     Training average negative_sample_loss at step 1900: 0.308619
2025-09-05 21:35:22,061 INFO     Training average loss at step 1900: 0.332618
2025-09-05 21:35:22,061 INFO     Training average current_temperature at step 1900: 0.010000
2025-09-05 21:35:48,320 INFO     Training average positive_sample_loss at step 2000: 0.347924
2025-09-05 21:35:48,320 INFO     Training average negative_sample_loss at step 2000: 0.299810
2025-09-05 21:35:48,320 INFO     Training average loss at step 2000: 0.323867
2025-09-05 21:35:48,320 INFO     Training average current_temperature at step 2000: 0.010000
2025-09-05 21:36:14,632 INFO     Training average positive_sample_loss at step 2100: 0.339987
2025-09-05 21:36:14,632 INFO     Training average negative_sample_loss at step 2100: 0.289486
2025-09-05 21:36:14,633 INFO     Training average loss at step 2100: 0.314736
2025-09-05 21:36:14,633 INFO     Training average current_temperature at step 2100: 0.010000
2025-09-05 21:36:44,622 INFO     Training average positive_sample_loss at step 2200: 0.302687
2025-09-05 21:36:44,622 INFO     Training average negative_sample_loss at step 2200: 0.273000
2025-09-05 21:36:44,622 INFO     Training average loss at step 2200: 0.287843
2025-09-05 21:36:44,622 INFO     Training average current_temperature at step 2200: 0.010000
2025-09-05 21:37:10,758 INFO     Training average positive_sample_loss at step 2300: 0.301338
2025-09-05 21:37:10,758 INFO     Training average negative_sample_loss at step 2300: 0.253500
2025-09-05 21:37:10,758 INFO     Training average loss at step 2300: 0.277419
2025-09-05 21:37:10,758 INFO     Training average current_temperature at step 2300: 0.010000
2025-09-05 21:37:37,473 INFO     Training average positive_sample_loss at step 2400: 0.297280
2025-09-05 21:37:37,473 INFO     Training average negative_sample_loss at step 2400: 0.245256
2025-09-05 21:37:37,473 INFO     Training average loss at step 2400: 0.271268
